experiment,epoch,timestamp,source,grad_norm,train_loss,lr
0025_20260831_dino_paper_faithful,1,20260831-173231,log_172641.txt,1.6223,10.7861,1e-05
0025_20260831_dino_paper_faithful,2,20260831-173916,log_172641.txt,3.15,8.7412,0.000209
0025_20260831_dino_paper_faithful,3,20260831-174601,log_172641.txt,0.5646,10.8132,0.000408
0025_20260831_dino_paper_faithful,4,20260831-175247,log_172641.txt,0.6505,10.6456,0.000607
0025_20260831_dino_paper_faithful,5,20260831-175932,log_172641.txt,0.9062,10.0299,0.000806
0025_20260831_dino_paper_faithful,6,20260831-180636,log_172641.txt,0.3843,10.6211,0.00101
0025_20260831_dino_paper_faithful,7,20260831-181321,log_172641.txt,0.5934,10.1063,0.0012
0025_20260831_dino_paper_faithful,8,20260831-182006,log_172641.txt,0.6677,9.4671,0.0014
0025_20260831_dino_paper_faithful,9,20260831-182651,log_172641.txt,0.709,9.0839,0.0016
0025_20260831_dino_paper_faithful,10,20260831-183337,log_172641.txt,0.3279,10.2121,0.0018
0025_20260831_dino_paper_faithful,11,20260831-184039,log_172641.txt,0.2515,10.4211,0.002
0025_20260831_dino_paper_faithful,12,20260831-184725,log_172641.txt,0.0001,11.0904,0.002
0025_20260831_dino_paper_faithful,13,20260831-185409,log_172641.txt,0.0,11.0904,0.002
0025_20260831_dino_paper_faithful,14,20260831-190055,log_172641.txt,0.0001,11.0904,0.002
0025_20260831_dino_paper_faithful,15,20260831-190739,log_172641.txt,0.0002,11.0904,0.002
0025_20260831_dino_paper_faithful,16,20260831-191442,log_172641.txt,0.0004,11.0904,0.002
0025_20260831_dino_paper_faithful,17,20260831-192127,log_172641.txt,0.0005,11.0904,0.002
0025_20260831_dino_paper_faithful,18,20260831-192812,log_172641.txt,0.0007,11.0904,0.002
0025_20260831_dino_paper_faithful,19,20260831-193456,log_172641.txt,0.0006,11.0904,0.002
0025_20260831_dino_paper_faithful,20,20260831-194140,log_172641.txt,0.0005,11.0904,0.002
0026_20260901_dino_clipgrad03,1,20260901-182220,log_181630.txt,2.0073,10.7873,1e-05
0026_20260901_dino_clipgrad03,2,20260901-182906,log_181630.txt,4.3174,8.7962,0.000209
0026_20260901_dino_clipgrad03,3,20260901-183552,log_181630.txt,1.1047,10.3825,0.000408
0026_20260901_dino_clipgrad03,4,20260901-184240,log_181630.txt,1.2707,9.9324,0.000607
0026_20260901_dino_clipgrad03,5,20260901-184927,log_181630.txt,1.4056,9.3731,0.000806
